metacell	gene	cell_type	color
1	Spis_XP_022797422_1	cnidocyte	plum3
1	Spis_XP_022789499_1	cnidocyte	plum3
1	Spis_XP_022795719_1	cnidocyte	plum3
1	Spis_XP_022787371_1	cnidocyte	plum3
1	Spis18343_1	cnidocyte	plum3
1	Spis_XP_022789491_1	cnidocyte	plum3
1	Spis_XP_022799416_1	cnidocyte	plum3
1	Spis_XP_022797425_1	cnidocyte	plum3
1	Spis_XP_022794104_1	cnidocyte	plum3
1	Spis_XP_022807225_1	cnidocyte	plum3
2	Spis_XP_022805309_1	gastrodermis_musclelike	chartreuse2
101	Spis_XP_022799527_1	digestive_filaments	firebrick3
2	Spis_XP_022777980_1	gastrodermis_musclelike	chartreuse2
110	Spis_XP_022799529_1	digestive_filaments	firebrick3
44	Spis_XP_022806051_1	gastrodermis	chartreuse4
2	Spis_XP_022788034_1	gastrodermis_musclelike	chartreuse2
60	Spis_XP_022777441_1	gastrodermis	chartreuse4
13	Spis_XP_022803038_1	gastrodermis	chartreuse4
13	Spis_XP_022792757_1	gastrodermis	chartreuse4
41	Spis_XP_022799213_1	gastrodermis	chartreuse4
13	Spis_XP_022803036_1	gastrodermis	chartreuse4
7	Spis_XP_022794351_1	gastrodermis	chartreuse4
85	Spis_XP_022787225_1	alga-hosting_cells	limegreen
11	Spis_XP_022785129_1	gastrodermis	chartreuse4
4	Spis_XP_022777477_1	gastrodermis	chartreuse4
4	Spis_XP_022808998_1	gastrodermis	chartreuse4
13	orphan_peak_1303	gastrodermis	chartreuse4
45	Spis_XP_022802206_1	gastrodermis	chartreuse4
10	Spis_XP_022807192_1	gastrodermis	chartreuse4
7	Spis_XP_022809885_1	gastrodermis	chartreuse4
27	Spis_XP_022793420_1	gastrodermis	chartreuse4
19	Spis_XP_022785263_1	gastrodermis	chartreuse4
33	Spis_XP_022788977_1	gastrodermis	chartreuse4
34	Spis_XP_022806376_1	gastrodermis	chartreuse4
42	Spis_XP_022808048_1	gastrodermis	chartreuse4
27	Spis_XP_022784948_1	gastrodermis	chartreuse4
9	Spis_XP_022779001_1	gastrodermis	chartreuse4
20	Spis_XP_022777776_1	gastrodermis	chartreuse4
32	Spis_XP_022781398_1	gastrodermis	chartreuse4
38	Spis_XP_022806141_1	gastrodermis	chartreuse4
12	Spis_XP_022785952_1	gastrodermis	chartreuse4
12	Spis_XP_022795459_1	gastrodermis	chartreuse4
17	Spis_XP_022777933_1	gastrodermis	chartreuse4
12	orphan_peak_17555	gastrodermis	chartreuse4
44	Spis_XP_022788809_1	gastrodermis	chartreuse4
27	Spis_XP_022788795_1	gastrodermis	chartreuse4
49	Spis_XP_022788102_1	gastrodermis	chartreuse4
73	Spis_XP_022786917_1	alga-hosting_cells	limegreen
17	Spis_XP_022803452_1	gastrodermis	chartreuse4
17	Spis_LOC111321322	gastrodermis	chartreuse4
17	orphan_peak_14383	gastrodermis	chartreuse4
17	Spis_XP_022803156_1	gastrodermis	chartreuse4
17	Spis_XP_022797097_1	gastrodermis	chartreuse4
18	Spis_XP_022809032_1	gastrodermis	chartreuse4
34	Spis_XP_022781017_1	gastrodermis	chartreuse4
37	Spis_XP_022798372_1	gastrodermis	chartreuse4
38	Spis_XP_022787579_1	gastrodermis	chartreuse4
24	Spis_LOC111342308	gastrodermis	chartreuse4
24	Spis_XP_022798800_1	gastrodermis	chartreuse4
37	Spis_XP_022797903_1	gastrodermis	chartreuse4
78	Spis_XP_022782026_1	alga-hosting_cells	limegreen
25	Spis_XP_022804248_1	gastrodermis	chartreuse4
116	orphan_peak_11821	epidermis_1	turquoise3
116	Spis_XP_022778233_1	epidermis_1	turquoise3
183	Spis_XP_022798553_1	immune_1	khaki3
27	Spis_XP_022779176_1	gastrodermis	chartreuse4
70	Spis_XP_022798270_1	gastrodermis	chartreuse4
31	orphan_peak_6753	gastrodermis	chartreuse4
32	Spis9489_1	gastrodermis	chartreuse4
32	Spis_XP_022804308_1	gastrodermis	chartreuse4
32	orphan_peak_21316	gastrodermis	chartreuse4
63	Spis_XP_022790303_1	gastrodermis	chartreuse4
171	Spis_XP_022782172_1	gland_2	chocolate3
68	Spis_XP_022782678_1	gastrodermis	chartreuse4
36	Spis_XP_022781920_1	gastrodermis	chartreuse4
37	Spis_XP_022779763_1	gastrodermis	chartreuse4
37	Spis_XP_022795243_1	gastrodermis	chartreuse4
144	Spis_LOC111326826	calicoblast	purple3
38	Spis_LOC111332803	gastrodermis	chartreuse4
38	Spis_XP_022807726_1	gastrodermis	chartreuse4
38	Spis_XP_022784039_1	gastrodermis	chartreuse4
143	orphan_peak_13714	calicoblast	purple3
40	Spis_XP_022803630_1	gastrodermis	chartreuse4
41	Spis_XP_022808870_1	gastrodermis	chartreuse4
14	Spis_XP_022791078_1	gastrodermis	chartreuse4
43	Spis_XP_022786231_1	gastrodermis	chartreuse4
43	Spis_XP_022795933_1	gastrodermis	chartreuse4
43	Spis_XP_022803311_1	gastrodermis	chartreuse4
118	Spis_XP_022797264_1	epidermis_1	turquoise3
167	Spis_XP_022791957_1	neuron_12	lightskyblue3
45	orphan_peak_15642	gastrodermis	chartreuse4
45	Spis_XP_022787504_1	gastrodermis	chartreuse4
45	Spis_XP_022791312_1	gastrodermis	chartreuse4
89	orphan_peak_18925	mitotic_host_cells	burlywood2
45	orphan_peak_1034	gastrodermis	chartreuse4
47	orphan_peak_13262	gastrodermis	chartreuse4
47	Spis_LOC111339093	gastrodermis	chartreuse4
50	Spis_XP_022803796_1	gastrodermis	chartreuse4
106	Spis_XP_022783421_1	digestive_filaments	firebrick3
55	orphan_peak_2618	gastrodermis	chartreuse4
112	Spis_XP_022795301_1	digestive_filaments	firebrick3
57	Spis_XP_022784353_1	gastrodermis	chartreuse4
57	Spis_XP_022795100_1	gastrodermis	chartreuse4
57	Spis_XP_022797095_1	gastrodermis	chartreuse4
133	Spis_XP_022802583_1	epidermis_2	turquoise2
59	Spis_XP_022779287_1	gastrodermis	chartreuse4
113	Spis_XP_022786707_1	epidermis_1	turquoise3
36	Spis_XP_022795291_1	gastrodermis	chartreuse4
66	Spis_XP_022809543_1	gastrodermis	chartreuse4
137	orphan_peak_13713	epidermis_2	turquoise2
41	Spis_LOC111336533	gastrodermis	chartreuse4
17	Spis_XP_022802100_1	gastrodermis	chartreuse4
76	Spis_XP_022786709_1	alga-hosting_cells	limegreen
79	Spis_XP_022796708_1	alga-hosting_cells	limegreen
76	orphan_peak_3939	alga-hosting_cells	limegreen
73	Spis_XP_022779557_1	alga-hosting_cells	limegreen
73	orphan_peak_7126	alga-hosting_cells	limegreen
79	Spis_XP_022789093_1	alga-hosting_cells	limegreen
79	Spis_LOC111342177	alga-hosting_cells	limegreen
81	Spis_XP_022803736_1	alga-hosting_cells	limegreen
76	Spis_XP_022783728_1	alga-hosting_cells	limegreen
73	Spis_XP_022806423_1	alga-hosting_cells	limegreen
79	Spis_LOC111323249	alga-hosting_cells	limegreen
73	Spis_XP_022790445_1	alga-hosting_cells	limegreen
76	Spis_XP_022805523_1	alga-hosting_cells	limegreen
82	Spis_XP_022781957_1	alga-hosting_cells	limegreen
82	Spis_XP_022795915_1	alga-hosting_cells	limegreen
79	orphan_peak_5420	alga-hosting_cells	limegreen
38	Spis_XP_022801785_1	gastrodermis	chartreuse4
73	Spis_XP_022794254_1	alga-hosting_cells	limegreen
91	Spis_XP_022793409_1	mitotic_host_cells	burlywood2
22	Spis_XP_022787226_1	gastrodermis	chartreuse4
90	orphan_peak_7564	mitotic_host_cells	burlywood2
87	Spis_XP_022804025_1	mitotic_host_cells	burlywood2
87	orphan_peak_16904	mitotic_host_cells	burlywood2
87	Spis_LOC111341257	mitotic_host_cells	burlywood2
89	Spis_XP_022779499_1	mitotic_host_cells	burlywood2
87	orphan_peak_17178	mitotic_host_cells	burlywood2
100	Spis_XP_022801783_1	germline_sperm	mediumorchid4
88	Spis_XP_022801030_1	mitotic_host_cells	burlywood2
100	Spis_XP_022779498_1	germline_sperm	mediumorchid4
94	orphan_peak_8081	mitotic_host_cells	burlywood2
87	Spis_XP_022780799_1	mitotic_host_cells	burlywood2
93	Spis_XP_022787013_1	mitotic_host_cells	burlywood2
87	orphan_peak_14408	mitotic_host_cells	burlywood2
91	orphan_peak_970	mitotic_host_cells	burlywood2
180	Spis_XP_022794089_1	unknown	gray44
93	Spis_XP_022799501_1	mitotic_host_cells	burlywood2
89	orphan_peak_10711	mitotic_host_cells	burlywood2
90	Spis_XP_022810240_1	mitotic_host_cells	burlywood2
87	orphan_peak_12395	mitotic_host_cells	burlywood2
128	Spis_XP_022803859_1	epidermis_1	turquoise3
90	orphan_peak_7147	mitotic_host_cells	burlywood2
100	Spis_XP_022799427_1	germline_sperm	mediumorchid4
100	Spis_XP_022806608_1	germline_sperm	mediumorchid4
100	Spis_XP_022803401_1	germline_sperm	mediumorchid4
100	Spis_XP_022781901_1	germline_sperm	mediumorchid4
100	orphan_peak_21324	germline_sperm	mediumorchid4
100	Spis_XP_022789587_1	germline_sperm	mediumorchid4
100	Spis_XP_022793819_1	germline_sperm	mediumorchid4
107	Spis_XP_022788591_1	digestive_filaments	firebrick3
108	Spis_XP_022806845_1	digestive_filaments	firebrick3
101	Spis_XP_022805580_1	digestive_filaments	firebrick3
151	Spis_XP_022796045_1	neuron_1	blue1
111	Spis_XP_022797242_1	digestive_filaments	firebrick3
141	Spis_XP_022787678_1	calicoblast	purple3
102	Spis_XP_022806535_1	digestive_filaments	firebrick3
102	Spis_XP_022795139_1	digestive_filaments	firebrick3
103	orphan_peak_1959	digestive_filaments	firebrick3
103	Spis_LOC111340129	digestive_filaments	firebrick3
103	Spis_LOC111320958	digestive_filaments	firebrick3
103	Spis_XP_022796495_1	digestive_filaments	firebrick3
109	Spis_XP_022805987_1	digestive_filaments	firebrick3
104	Spis_XP_022779036_1	digestive_filaments	firebrick3
105	Spis_XP_022806534_1	digestive_filaments	firebrick3
105	Spis_XP_022807059_1	digestive_filaments	firebrick3
105	Spis_XP_022791263_1	digestive_filaments	firebrick3
106	Spis_XP_022810261_1	digestive_filaments	firebrick3
151	Spis_XP_022807516_1	neuron_1	blue1
144	Spis_XP_022787680_1	calicoblast	purple3
108	Spis_XP_022798775_1	digestive_filaments	firebrick3
103	Spis4775_1	digestive_filaments	firebrick3
108	Spis_XP_022806567_1	digestive_filaments	firebrick3
108	Spis_XP_022792391_1	digestive_filaments	firebrick3
109	Spis_XP_022782245_1	digestive_filaments	firebrick3
109	Spis_XP_022777874_1	digestive_filaments	firebrick3
102	Spis_XP_022789725_1	digestive_filaments	firebrick3
110	Spis_XP_022787831_1	digestive_filaments	firebrick3
111	Spis_XP_022780303_1	digestive_filaments	firebrick3
118	Spis25360_1	epidermis_1	turquoise3
112	Spis_LOC111334588	digestive_filaments	firebrick3
134	Spis_XP_022789462_1	epidermis_2	turquoise2
168	Spis14212_1	neuron_13	royalblue4
115	Spis_XP_022798424_1	epidermis_1	turquoise3
124	Spis_XP_022786238_1	epidermis_1	turquoise3
126	Spis_XP_022803774_1	epidermis_1	turquoise3
141	Spis_XP_022780954_1	calicoblast	purple3
140	Spis_XP_022798766_1	calicoblast	purple3
114	orphan_peak_14663	epidermis_1	turquoise3
131	Spis_XP_022786186_1	epidermis_2	turquoise2
128	orphan_peak_15509	epidermis_1	turquoise3
128	orphan_peak_14413	epidermis_1	turquoise3
128	Spis7630_1	epidermis_1	turquoise3
150	Spis_XP_022788581_1	neuron_1	blue1
115	Spis_XP_022797529_1	epidermis_1	turquoise3
131	Spis_LOC111332940	epidermis_2	turquoise2
121	Spis_XP_022789892_1	epidermis_1	turquoise3
123	Spis_XP_022794543_1	epidermis_1	turquoise3
122	Spis_XP_022801475_1	epidermis_1	turquoise3
133	Spis_XP_022778020_1	epidermis_2	turquoise2
131	Spis_XP_022800575_1	epidermis_2	turquoise2
120	Spis_XP_022794139_1	epidermis_1	turquoise3
120	Spis_XP_022787864_1	epidermis_1	turquoise3
120	Spis_XP_022787100_1	epidermis_1	turquoise3
121	Spis_XP_022807481_1	epidermis_1	turquoise3
124	Spis_XP_022801462_1	epidermis_1	turquoise3
124	Spis_XP_022786254_1	epidermis_1	turquoise3
133	Spis_XP_022797443_1	epidermis_2	turquoise2
123	Spis_XP_022793177_1	epidermis_1	turquoise3
131	Spis_XP_022798140_1	epidermis_2	turquoise2
134	Spis_XP_022792089_1	epidermis_2	turquoise2
134	Spis_XP_022804844_1	epidermis_2	turquoise2
134	Spis_XP_022786718_1	epidermis_2	turquoise2
138	Spis_LOC111344741	calicoblast	purple3
138	Spis_XP_022800496_1	calicoblast	purple3
128	Spis15868_1	epidermis_1	turquoise3
138	Spis_XP_022795854_1	calicoblast	purple3
138	Spis_XP_022805384_1	calicoblast	purple3
128	orphan_peak_7503	epidermis_1	turquoise3
129	Spis_XP_022798948_1	epidermis_2	turquoise2
132	Spis_XP_022803853_1	epidermis_2	turquoise2
131	Spis_XP_022804995_1	epidermis_2	turquoise2
131	orphan_peak_11414	epidermis_2	turquoise2
131	Spis_XP_022790738_1	epidermis_2	turquoise2
134	Spis_XP_022808030_1	epidermis_2	turquoise2
130	Spis_XP_022781976_1	epidermis_2	turquoise2
139	Spis_XP_022782036_1	calicoblast	purple3
145	Spis_XP_022783415_1	calicoblast	purple3
139	Spis_XP_022804303_1	calicoblast	purple3
139	Spis_XP_022803870_1	calicoblast	purple3
144	Spis_XP_022801333_1	calicoblast	purple3
141	Spis_XP_022799082_1	calicoblast	purple3
140	Spis_XP_022798437_1	calicoblast	purple3
141	Spis_XP_022806382_1	calicoblast	purple3
174	Spis_XP_022783679_1	gland_5	darkorange1
143	Spis_XP_022781863_1	calicoblast	purple3
144	Spis_XP_022790491_1	calicoblast	purple3
144	Spis_XP_022789440_1	calicoblast	purple3
146	Spis_XP_022779926_1	calicoblast	purple3
146	Spis_XP_022786110_1	calicoblast	purple3
146	Spis_XP_022791118_1	calicoblast	purple3
147	Spis_LOC111330475	neuron_1	blue1
147	Spis_LOC111319535	neuron_1	blue1
147	Spis_LOC111330502	neuron_1	blue1
148	orphan_peak_6263	neuron_1	blue1
148	orphan_peak_6262	neuron_1	blue1
147	Spis_XP_022791019_1	neuron_1	blue1
149	Spis_XP_022788474_1	neuron_1	blue1
148	Spis_LOC111328309	neuron_1	blue1
152	Spis_XP_022794132_1	neuron_1	blue1
148	Spis_XP_022803240_1	neuron_1	blue1
148	Spis_LOC111340631	neuron_1	blue1
148	Spis_LOC111322911	neuron_1	blue1
148	Spis_LOC111328308	neuron_1	blue1
150	Spis_LOC111318983	neuron_1	blue1
149	orphan_peak_6252	neuron_1	blue1
150	Spis_XP_022809335_1	neuron_1	blue1
149	Spis_XP_022800085_1	neuron_1	blue1
157	Spis_XP_022780302_1	neuron_4	dodgerblue4
150	Spis_XP_022794446_1	neuron_1	blue1
150	Spis_XP_022792017_1	neuron_1	blue1
150	orphan_peak_20992	neuron_1	blue1
159	Spis_XP_022784214_1	neuron_5	deepskyblue3
152	Spis_XP_022786297_1	neuron_1	blue1
151	Spis_XP_022797029_1	neuron_1	blue1
152	Spis_XP_022785423_1	neuron_1	blue1
152	Spis_XP_022780503_1	neuron_1	blue1
148	orphan_peak_6276	neuron_1	blue1
154	Spis_XP_022794301_1	neuron_2	dodgerblue
154	Spis_XP_022794323_1	neuron_2	dodgerblue
154	Spis_XP_022782002_1	neuron_2	dodgerblue
154	Spis_XP_022790202_1	neuron_2	dodgerblue
154	Spis_XP_022794326_1	neuron_2	dodgerblue
154	Spis_XP_022804348_1	neuron_2	dodgerblue
163	Spis_XP_022803366_1	neuron_8	deepskyblue1
154	Spis_XP_022785026_1	neuron_2	dodgerblue
155	Spis_LOC111327141	neuron_3	blue4
155	orphan_peak_14361	neuron_3	blue4
155	orphan_peak_14359	neuron_3	blue4
155	orphan_peak_7948	neuron_3	blue4
158	orphan_peak_5476	neuron_4	dodgerblue4
155	orphan_peak_16456	neuron_3	blue4
158	orphan_peak_5483	neuron_4	dodgerblue4
156	Spis_XP_022793852_1	neuron_4	dodgerblue4
156	Spis_XP_022800024_1	neuron_4	dodgerblue4
156	Spis_XP_022810159_1	neuron_4	dodgerblue4
156	Spis_XP_022797454_1	neuron_4	dodgerblue4
157	Spis_XP_022800023_1	neuron_4	dodgerblue4
157	Spis_LOC111347075	neuron_4	dodgerblue4
157	orphan_peak_10644	neuron_4	dodgerblue4
157	Spis_XP_022794014_1	neuron_4	dodgerblue4
158	Spis_XP_022805597_1	neuron_4	dodgerblue4
159	Spis_XP_022780859_1	neuron_5	deepskyblue3
159	Spis_LOC111329831	neuron_5	deepskyblue3
159	Spis_XP_022809034_1	neuron_5	deepskyblue3
159	Spis_XP_022800420_1	neuron_5	deepskyblue3
160	Spis_XP_022810150_1	neuron_5	deepskyblue3
170	Spis_XP_022786365_1	gland_1	chocolate1
160	orphan_peak_10204	neuron_5	deepskyblue3
161	Spis_XP_022798554_1	neuron_6	royalblue2
161	Spis_XP_022781821_1	neuron_6	royalblue2
161	Spis_XP_022788743_1	neuron_6	royalblue2
165	Spis_LOC111323818	neuron_10	lightblue3
171	Spis_XP_022781196_1	gland_2	chocolate3
161	Spis_XP_022808637_1	neuron_6	royalblue2
161	Spis_XP_022798199_1	neuron_6	royalblue2
164	Spis_LOC111322283	neuron_9	deepskyblue4
161	Spis_XP_022798355_1	neuron_6	royalblue2
162	Spis_LOC111340989	neuron_7	steelblue4
162	Spis_LOC111340543	neuron_7	steelblue4
162	Spis_XP_022807394_1	neuron_7	steelblue4
162	orphan_peak_12721	neuron_7	steelblue4
162	Spis_LOC111341536	neuron_7	steelblue4
162	Spis_LOC111325409	neuron_7	steelblue4
162	Spis_LOC111329572	neuron_7	steelblue4
164	Spis_XP_022789719_1	neuron_9	deepskyblue4
162	Spis_XP_022789920_1	neuron_7	steelblue4
164	Spis_XP_022800545_1	neuron_9	deepskyblue4
163	Spis_XP_022785362_1	neuron_8	deepskyblue1
163	Spis_XP_022796049_1	neuron_8	deepskyblue1
163	Spis_XP_022805129_1	neuron_8	deepskyblue1
163	Spis_LOC111336359	neuron_8	deepskyblue1
163	Spis_XP_022805130_1	neuron_8	deepskyblue1
163	Spis_XP_022785063_1	neuron_8	deepskyblue1
163	Spis_XP_022791135_1	neuron_8	deepskyblue1
163	Spis_XP_022789071_1	neuron_8	deepskyblue1
163	orphan_peak_11567	neuron_8	deepskyblue1
164	Spis_XP_022784831_1	neuron_9	deepskyblue4
165	Spis_XP_022805563_1	neuron_10	lightblue3
164	Spis_XP_022799114_1	neuron_9	deepskyblue4
164	orphan_peak_2723	neuron_9	deepskyblue4
164	Spis_XP_022787668_1	neuron_9	deepskyblue4
164	Spis_XP_022787696_1	neuron_9	deepskyblue4
164	Spis_XP_022799394_1	neuron_9	deepskyblue4
165	orphan_peak_17367	neuron_10	lightblue3
165	Spis_LOC111329579	neuron_10	lightblue3
165	Spis_XP_022782337_1	neuron_10	lightblue3
165	Spis_XP_022793915_1	neuron_10	lightblue3
165	Spis_XP_022805424_1	neuron_10	lightblue3
165	Spis_XP_022799249_1	neuron_10	lightblue3
165	Spis_XP_022810237_1	neuron_10	lightblue3
166	orphan_peak_5883	neuron_11	dodgerblue3
166	Spis_LOC111327712	neuron_11	dodgerblue3
166	Spis_LOC111330532	neuron_11	dodgerblue3
166	Spis_XP_022795331_1	neuron_11	dodgerblue3
166	Spis_XP_022781270_1	neuron_11	dodgerblue3
167	Spis_XP_022801100_1	neuron_12	lightskyblue3
167	Spis_XP_022780084_1	neuron_12	lightskyblue3
167	Spis_XP_022791558_1	neuron_12	lightskyblue3
167	Spis_XP_022790552_1	neuron_12	lightskyblue3
167	Spis_XP_022788733_1	neuron_12	lightskyblue3
167	Spis_LOC111330026	neuron_12	lightskyblue3
167	Spis_XP_022800497_1	neuron_12	lightskyblue3
167	Spis_XP_022790549_1	neuron_12	lightskyblue3
167	Spis_XP_022804860_1	neuron_12	lightskyblue3
167	Spis_XP_022789336_1	neuron_12	lightskyblue3
168	Spis_LOC111325742	neuron_13	royalblue4
168	Spis_XP_022798397_1	neuron_13	royalblue4
168	Spis2118_1	neuron_13	royalblue4
168	orphan_peak_2635	neuron_13	royalblue4
168	Spis_XP_022783353_1	neuron_13	royalblue4
168	Spis_XP_022805628_1	neuron_13	royalblue4
168	Spis_XP_022795723_1	neuron_13	royalblue4
168	Spis_XP_022793600_1	neuron_13	royalblue4
168	Spis_XP_022801593_1	neuron_13	royalblue4
169	Spis_LOC111329830	neuron_14	lightblue1
169	orphan_peak_1431	neuron_14	lightblue1
169	Spis_XP_022792148_1	neuron_14	lightblue1
169	Spis_XP_022796525_1	neuron_14	lightblue1
169	orphan_peak_7454	neuron_14	lightblue1
169	Spis_LOC111335082	neuron_14	lightblue1
169	Spis_XP_022780388_1	neuron_14	lightblue1
169	Spis_XP_022780538_1	neuron_14	lightblue1
170	Spis_XP_022790329_1	gland_1	chocolate1
170	Spis_XP_022794354_1	gland_1	chocolate1
170	Spis_XP_022807872_1	gland_1	chocolate1
170	Spis_XP_022799181_1	gland_1	chocolate1
170	Spis_XP_022807866_1	gland_1	chocolate1
170	Spis_XP_022780833_1	gland_1	chocolate1
170	Spis_XP_022791269_1	gland_1	chocolate1
179	Spis_XP_022792803_1	gland_10	orange4
170	Spis_XP_022799183_1	gland_1	chocolate1
171	Spis_XP_022795935_1	gland_2	chocolate3
171	Spis_LOC111323783	gland_2	chocolate3
171	Spis_XP_022798497_1	gland_2	chocolate3
171	Spis_LOC111339052	gland_2	chocolate3
171	Spis_XP_022793586_1	gland_2	chocolate3
171	Spis_LOC111325456	gland_2	chocolate3
172	Spis_XP_022793344_1	gland_3_digestive	darkorange4
172	Spis_XP_022797688_1	gland_3_digestive	darkorange4
172	Spis_XP_022799178_1	gland_3_digestive	darkorange4
172	Spis_XP_022783910_1	gland_3_digestive	darkorange4
172	Spis_XP_022797898_1	gland_3_digestive	darkorange4
172	Spis_XP_022783886_1	gland_3_digestive	darkorange4
172	Spis_XP_022784069_1	gland_3_digestive	darkorange4
172	Spis_XP_022799272_1	gland_3_digestive	darkorange4
172	Spis_XP_022803817_1	gland_3_digestive	darkorange4
172	Spis_XP_022784042_1	gland_3_digestive	darkorange4
173	orphan_peak_4652	gland_4	chocolate2
173	Spis_XP_022802226_1	gland_4	chocolate2
173	Spis_XP_022802232_1	gland_4	chocolate2
173	Spis_XP_022808027_1	gland_4	chocolate2
173	Spis_XP_022798683_1	gland_4	chocolate2
173	Spis_XP_022807103_1	gland_4	chocolate2
173	Spis_XP_022788873_1	gland_4	chocolate2
173	Spis_LOC111327352	gland_4	chocolate2
174	Spis_XP_022783652_1	gland_5	darkorange1
174	Spis_XP_022786985_1	gland_5	darkorange1
174	Spis_XP_022786458_1	gland_5	darkorange1
174	Spis_LOC111332860	gland_5	darkorange1
174	Spis11609_1	gland_5	darkorange1
174	Spis9148_1	gland_5	darkorange1
174	Spis_XP_022808967_1	gland_5	darkorange1
175	Spis_XP_022795168_1	gland_6	darkorange3
175	Spis_XP_022797428_1	gland_6	darkorange3
175	Spis_LOC111322605	gland_6	darkorange3
175	Spis_XP_022798020_1	gland_6	darkorange3
175	Spis_XP_022783192_1	gland_6	darkorange3
175	Spis_XP_022801838_1	gland_6	darkorange3
175	Spis_LOC111335995	gland_6	darkorange3
161	Spis_XP_022790685_1	neuron_6	royalblue2
176	Spis_XP_022788291_1	gland_7	darkorange
176	Spis_XP_022791880_1	gland_7	darkorange
176	Spis_XP_022781244_1	gland_7	darkorange
176	Spis_XP_022799305_1	gland_7	darkorange
176	Spis_LOC111322926	gland_7	darkorange
176	Spis_XP_022798902_1	gland_7	darkorange
179	Spis_XP_022801217_1	gland_10	orange4
179	Spis_XP_022790776_1	gland_10	orange4
177	orphan_peak_703	gland_8	chocolate4
177	Spis_XP_022791001_1	gland_8	chocolate4
177	Spis_XP_022787167_1	gland_8	chocolate4
177	orphan_peak_702	gland_8	chocolate4
177	orphan_peak_3142	gland_8	chocolate4
177	Spis_XP_022805663_1	gland_8	chocolate4
179	orphan_peak_13657	gland_10	orange4
178	Spis_XP_022808226_1	gland_9	orange2
178	Spis_XP_022793367_1	gland_9	orange2
178	Spis_XP_022806173_1	gland_9	orange2
178	Spis_XP_022808236_1	gland_9	orange2
178	Spis_LOC111338854	gland_9	orange2
178	Spis_XP_022788045_1	gland_9	orange2
178	Spis_XP_022806782_1	gland_9	orange2
178	Spis_XP_022799053_1	gland_9	orange2
178	Spis_XP_022781155_1	gland_9	orange2
178	Spis_XP_022802816_1	gland_9	orange2
179	Spis_LOC111320741	gland_10	orange4
179	Spis_XP_022791277_1	gland_10	orange4
179	Spis_XP_022788292_1	gland_10	orange4
179	Spis_XP_022795294_1	gland_10	orange4
179	Spis_XP_022786242_1	gland_10	orange4
179	Spis_XP_022790832_1	gland_10	orange4
179	Spis_XP_022795299_1	gland_10	orange4
180	orphan_peak_20874	unknown	gray44
180	Spis11865_1	unknown	gray44
180	Spis_XP_022779566_1	unknown	gray44
180	orphan_peak_13429	unknown	gray44
180	Spis_XP_022805023_1	unknown	gray44
180	Spis_XP_022789688_1	unknown	gray44
180	Spis12267_1	unknown	gray44
180	Spis_XP_022802271_1	unknown	gray44
180	orphan_peak_16615	unknown	gray44
180	Spis_XP_022810190_1	unknown	gray44
180	Spis_XP_022788661_1	unknown	gray44
183	Spis_XP_022793850_1	immune_1	khaki3
183	Spis_XP_022802936_1	immune_1	khaki3
183	Spis20505_1	immune_1	khaki3
183	Spis_LOC111345711	immune_1	khaki3
183	Spis_XP_022806069_1	immune_1	khaki3
183	Spis_XP_022787216_1	immune_1	khaki3
183	Spis_XP_022807111_1	immune_1	khaki3
184	Spis_XP_022801064_1	immune_2	khaki4
184	Spis_XP_022795842_1	immune_2	khaki4
184	Spis_XP_022779205_1	immune_2	khaki4
184	Spis_XP_022801045_1	immune_2	khaki4
184	Spis_XP_022795855_1	immune_2	khaki4
184	Spis_XP_022799073_1	immune_2	khaki4
184	orphan_peak_4595	immune_2	khaki4
184	Spis_XP_022801053_1	immune_2	khaki4
184	orphan_peak_3804	immune_2	khaki4
184	Spis_XP_022802946_1	immune_2	khaki4
